,Serial No.,Gadkari Nitin Jairam,Dr. Mohan Ramrao Gaikwad,Vilas Muttemwar,Anjali Anish Damania,Ansari Javed Ahemad,Chimote Rammurti Keshvrao,Dr. Dharmendra Mandlik (Parate),Dr. Pradeep Rambhauji Nagrale,Phusey Ghanshyam Ramaji,Bashir Khan,Shahid Sharif,Sunil Dattu Pendor,Ateeque Ahmad Malik,Anita Nagdigambar Tekam,Ajaz Khan,Kavita Vinodkumar Tibdiwal,Kanphade Rajendrakumar,Gaus Mohammed Sheikh,Ayyub Sheikh,Chanda Sudhir Manwatkar,Jivan Ramteke,Dilip Narayan Bhorkar,Dhiraj Jaidev Gajbhiye,Pankaj Prafulkumar Bhansali,Baburao Damaduji Meshram,Babulal Sundarlal Banjare,Mohan Marotrao Karemore,Ravindra Manik Borkar,Rajesh Suresh Sadhankar,Shakil Wasi Ahamad,Shridhar Narayan Salve,Adv. Suresh Shinde,Senapati Uttam Sapan,Somkuvar Vijay Sitaram,No. of Rejected Votes,NOTA,Total Votes,No. of Tendered Votes,Turnout_Category,Winner,Voting_Pattern_Cluster,Vote_Margin,Competitiveness
0,1.0,87.0,4.0,357.0,180.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,644.0,0.0,High Turnout,Vilas Muttemwar,2,177.0,Moderately Competitive
1,2.0,36.0,0.0,344.0,74.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,466.0,0.0,Medium Turnout,Vilas Muttemwar,3,270.0,Non-Competitive
2,3.0,91.0,1.0,303.0,146.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,564.0,0.0,Medium Turnout,Vilas Muttemwar,2,157.0,Moderately Competitive
3,4.0,61.0,1.0,310.0,108.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,498.0,0.0,Medium Turnout,Vilas Muttemwar,2,202.0,Non-Competitive
4,5.0,51.0,3.0,291.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,417.0,0.0,Medium Turnout,Vilas Muttemwar,3,228.0,Non-Competitive
5,6.0,23.0,1.0,276.0,55.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,376.0,0.0,Low Turnout,Vilas Muttemwar,3,221.0,Non-Competitive
6,7.0,76.0,321.0,244.0,45.0,6.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,713.0,0.0,High Turnout,Dr. Mohan Ramrao Gaikwad,1,77.0,Competitive
7,8.0,309.0,77.0,87.0,18.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,514.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,222.0,Non-Competitive
8,9.0,86.0,123.0,162.0,15.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,405.0,0.0,Medium Turnout,Vilas Muttemwar,3,39.0,Competitive
9,10.0,225.0,201.0,189.0,17.0,0.0,6.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,669.0,0.0,High Turnout,Gadkari Nitin Jairam,0,24.0,Highly Competitive
10,11.0,236.0,82.0,261.0,23.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,630.0,0.0,High Turnout,Vilas Muttemwar,0,25.0,Highly Competitive
11,12.0,494.0,21.0,227.0,28.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.0,2.0,1.0,0.0,1.0,811.0,0.0,Very High Turnout,Gadkari Nitin Jairam,0,267.0,Non-Competitive
12,13.0,633.0,3.0,135.0,36.0,1.0,0.0,12.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,4.0,857.0,0.0,Very High Turnout,Gadkari Nitin Jairam,3,498.0,Non-Competitive
13,14.0,418.0,1.0,158.0,40.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,651.0,0.0,High Turnout,Gadkari Nitin Jairam,3,260.0,Non-Competitive
14,15.0,412.0,4.0,91.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,571.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,321.0,Non-Competitive
15,16.0,396.0,1.0,92.0,64.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,568.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,304.0,Non-Competitive
16,17.0,190.0,2.0,53.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,280.0,0.0,Low Turnout,Gadkari Nitin Jairam,3,137.0,Non-Competitive
17,18.0,484.0,1.0,93.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,612.0,0.0,High Turnout,Gadkari Nitin Jairam,3,391.0,Non-Competitive
18,19.0,422.0,6.0,114.0,42.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,596.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,308.0,Non-Competitive
19,20.0,457.0,2.0,139.0,49.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,3.0,0.0,3.0,686.0,1.0,High Turnout,Gadkari Nitin Jairam,1,318.0,Non-Competitive
20,21.0,433.0,2.0,95.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,575.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,338.0,Non-Competitive
21,22.0,419.0,9.0,149.0,48.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,662.0,0.0,High Turnout,Gadkari Nitin Jairam,1,270.0,Non-Competitive
22,23.0,368.0,1.0,196.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,3.0,684.0,0.0,High Turnout,Gadkari Nitin Jairam,1,172.0,Moderately Competitive
23,24.0,379.0,3.0,68.0,46.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,516.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,311.0,Non-Competitive
24,25.0,416.0,1.0,115.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,2.0,0.0,2.0,608.0,0.0,High Turnout,Gadkari Nitin Jairam,3,301.0,Non-Competitive
25,26.0,310.0,0.0,114.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,4.0,473.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,196.0,Non-Competitive
26,27.0,488.0,2.0,116.0,26.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,659.0,0.0,High Turnout,Gadkari Nitin Jairam,3,372.0,Non-Competitive
27,28.0,453.0,3.0,103.0,59.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,648.0,1.0,High Turnout,Gadkari Nitin Jairam,1,350.0,Non-Competitive
28,29.0,312.0,1.0,143.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,522.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,169.0,Non-Competitive
29,30.0,256.0,1.0,134.0,50.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,461.0,0.0,Medium Turnout,Gadkari Nitin Jairam,2,122.0,Moderately Competitive
30,31.0,466.0,2.0,195.0,89.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,4.0,3.0,3.0,0.0,3.0,798.0,0.0,High Turnout,Gadkari Nitin Jairam,1,271.0,Non-Competitive
31,32.0,369.0,1.0,116.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,559.0,0.0,Medium Turnout,Gadkari Nitin Jairam,3,253.0,Non-Competitive
